t	Sol_x	Sol_y	Mercurio_x	Mercurio_y	Venus_x	Venus_y	Tierra_x	Tierra_y	Marte_x	Marte_y	Jupiter_x	Jupiter_y	Saturno_x	Saturno_y	Urano_x	Urano_y	Neptuno_x	Neptuno_y	
0.00000	0.00000000	0.00000000	0.38686820	0.01005000	0.72296224	0.00738000	0.99998026	0.00628000	1.52399150	0.00509000	5.20299927	0.00276000	9.53699978	0.00204000	19.19099995	0.00143000	30.06899998	0.00114000	
0.10000	0.00000936	0.00000071	-0.33772424	0.17407485	0.37062764	0.61975150	0.80529515	0.59255274	1.43813476	0.50439775	5.19556670	0.27862718	9.53477611	0.20602412	19.19045175	0.14442863	30.06877677	0.11513972	
0.20000	0.00003556	0.00000445	0.22587266	-0.31233854	-0.33695148	0.63663199	0.30285860	0.95230633	1.19339356	0.94797047	5.17358144	0.55371352	9.52819335	0.40991480	19.18882870	0.28741922	30.06811590	0.22913777	
0.30000	0.00007663	0.00001216	-0.03713051	0.38107313	-0.71820907	0.03869112	-0.31540502	0.94752746	0.81682233	1.28680203	5.13710571	0.82724816	9.51725465	0.61361959	19.18613088	0.43039381	30.06701738	0.34313250	
0.40000	0.00013067	0.00002363	-0.13394865	-0.35760886	-0.40296410	-0.59669565	-0.81261578	0.57944627	0.35003839	1.48346994	5.08624275	1.09846475	9.50196523	0.81704607	19.18235845	0.57334444	30.06548123	0.45712227	
0.50000	0.00019766	0.00003724	0.29850811	0.24521168	0.30266960	-0.65544504	-0.99769136	-0.01109871	-0.15538221	1.51626337	5.02113646	1.36660360	9.48233238	1.02010192	19.17751162	0.71626314	30.06350747	0.57110542	
0.60000	0.00027911	0.00005329	-0.37093450	-0.07943955	0.71835613	-0.08397116	-0.79935761	-0.59736421	-0.64360252	1.38157231	4.94197104	1.63091394	9.45836545	1.22269496	19.17159068	0.85914195	30.06109613	0.68508031	
0.70000	0.00037557	0.00007297	0.37202669	-0.10732105	0.44660725	0.56805879	-0.29393916	-0.95426533	-1.06068720	1.09428079	4.84897036	1.89065604	9.43007579	1.42473316	19.16459596	1.00197292	30.05824724	0.79904528	
0.80000	0.00048719	0.00009810	-0.26634868	0.27153995	-0.25281325	0.67464830	0.32440379	-0.94527749	-1.36055372	0.68612362	4.74239737	2.14510335	9.39747681	1.62612473	19.15652787	1.14474808	30.05496086	0.91299868	
0.90000	0.00061232	0.00012988	0.11990876	-0.36530428	-0.70689494	0.13021278	0.81885433	-0.57443931	-1.51005931	0.20218638	4.62255328	2.39354455	9.36058389	1.82677809	19.14738686	1.28745948	30.05123701	1.02693887	
