t,Sol_x,Sol_y,Mercurio_x,Mercurio_y,Venus_x,Venus_y,Tierra_x,Tierra_y,Marte_x,Marte_y,Jupiter_x,Jupiter_y,Saturno_x,Saturno_y,Urano_x,Urano_y,Neptuno_x,Neptuno_y,
0.000000,0.000000,0.000000,0.386868,0.010050,0.722962,0.007380,0.999980,0.006280,1.523992,0.005090,5.202999,0.002760,9.537000,0.002040,19.191000,0.001430,30.069000,0.001140,
0.100000,0.000009,0.000001,-0.337724,0.174075,0.370628,0.619752,0.805295,0.592553,1.438135,0.504398,5.195567,0.278627,9.534776,0.206024,19.190452,0.144429,30.068777,0.115140,
0.200000,0.000036,0.000004,0.225873,-0.312339,-0.336951,0.636632,0.302859,0.952306,1.193394,0.947970,5.173581,0.553714,9.528193,0.409915,19.188829,0.287419,30.068116,0.229138,
0.300000,0.000077,0.000012,-0.037131,0.381073,-0.718209,0.038691,-0.315405,0.947527,0.816822,1.286802,5.137106,0.827248,9.517255,0.613620,19.186131,0.430394,30.067017,0.343133,
0.400000,0.000131,0.000024,-0.133949,-0.357609,-0.402964,-0.596696,-0.812616,0.579446,0.350038,1.483470,5.086243,1.098465,9.501965,0.817046,19.182358,0.573344,30.065481,0.457122,
0.500000,0.000198,0.000037,0.298508,0.245212,0.302670,-0.655445,-0.997691,-0.011099,-0.155382,1.516263,5.021136,1.366604,9.482332,1.020102,19.177512,0.716263,30.063507,0.571105,
0.600000,0.000279,0.000053,-0.370934,-0.079440,0.718356,-0.083971,-0.799358,-0.597364,-0.643603,1.381572,4.941971,1.630914,9.458365,1.222695,19.171591,0.859142,30.061096,0.685080,
0.700000,0.000376,0.000073,0.372027,-0.107321,0.446607,0.568059,-0.293939,-0.954265,-1.060687,1.094281,4.848970,1.890656,9.430076,1.424733,19.164596,1.001973,30.058247,0.799045,
0.800000,0.000487,0.000098,-0.266349,0.271540,-0.252813,0.674648,0.324404,-0.945277,-1.360554,0.686124,4.742397,2.145103,9.397477,1.626125,19.156528,1.144748,30.054961,0.912999,
0.900000,0.000612,0.000130,0.119909,-0.365304,-0.706895,0.130213,0.818854,-0.574439,-1.510059,0.202186,4.622553,2.393545,9.360584,1.826778,19.147387,1.287459,30.051237,1.026939,
1.000000,0.000750,0.000168,0.082877,0.375303,-0.474996,-0.540170,1.000617,0.016038,-1.492664,-0.304069,4.489777,2.635286,9.319414,2.026602,19.137173,1.430099,30.047076,1.140864,
1.100000,0.000902,0.000212,-0.237102,-0.297225,0.217726,-0.688131,0.800438,0.600462,-1.310265,-0.776708,4.344442,2.869652,9.273988,2.225505,19.125888,1.572659,30.042477,1.254773,
1.200000,0.001067,0.000263,0.360220,0.143664,0.702713,-0.173858,0.294690,0.955422,-0.982990,-1.163502,4.186961,3.095990,9.224325,2.423398,19.113532,1.715132,30.037441,1.368664,
1.300000,0.001247,0.000323,-0.376097,0.041343,0.515913,0.507357,-0.323368,0.944748,-0.546978,-1.421704,4.017776,3.313668,9.170449,2.620189,19.100105,1.857508,30.031968,1.482534,
1.400000,0.001440,0.000395,0.322696,-0.214268,-0.164058,0.701893,-0.816871,0.571966,-0.050386,-1.522779,3.837365,3.522082,9.112386,2.815790,19.085608,1.999782,30.026058,1.596384,
1.500000,0.001643,0.000478,-0.167794,0.342365,-0.683535,0.219805,-0.996119,-0.020247,0.451940,-1.455551,3.646235,3.720651,9.050163,3.010110,19.070043,2.141943,30.019711,1.710210,
1.600000,0.001854,0.000573,0.003134,-0.382704,-0.538773,-0.474619,-0.792030,-0.604488,0.904521,-1.227444,3.444926,3.908825,8.983807,3.203062,19.053409,2.283986,30.012927,1.824011,
1.700000,0.002073,0.000676,0.195620,0.333598,0.129745,-0.709430,-0.283070,-0.956425,1.257379,-0.863651,3.234003,4.086083,8.913350,3.394558,19.035709,2.425901,30.005706,1.937786,
1.800000,0.002302,0.000788,-0.316037,-0.207014,0.676230,-0.260717,0.335300,-0.941392,1.471554,-0.404352,3.014060,4.251932,8.838825,3.584510,19.016942,2.567680,29.998048,2.051533,
1.900000,0.002543,0.000910,0.388515,0.028938,0.577428,0.438727,0.826284,-0.565693,1.523407,0.099722,2.785714,4.405916,8.760266,3.772831,18.997110,2.709317,29.989954,2.165251,
2.000000,0.002794,0.001045,-0.342916,0.158466,-0.072117,0.718092,1.002446,0.026623,1.407232,0.592897,2.549605,4.547609,8.677709,3.959436,18.976214,2.850802,29.981423,2.278937,
2.100000,0.003054,0.001194,0.243401,-0.300340,-0.648576,0.306204,0.796721,0.609184,1.135888,1.020699,2.306398,4.676623,8.591193,4.144239,18.954256,2.992129,29.972456,2.392589,
2.200000,0.003322,0.001357,-0.052004,0.380001,-0.593360,-0.400939,0.287660,0.959332,0.739382,1.335875,2.056772,4.792602,8.500756,4.327157,18.931235,3.133288,29.963052,2.506208,
2.300000,0.003594,0.001534,-0.113250,-0.362303,0.040090,-0.718804,-0.330162,0.942792,0.261557,1.503625,1.801426,4.895231,8.406441,4.508105,18.907155,3.274273,29.953213,2.619789,
2.400000,0.003873,0.001724,0.290286,0.260492,0.639252,-0.342844,-0.819940,0.565390,-0.244758,1.505442,1.541076,4.984228,8.308292,4.687002,18.882015,3.415074,29.942937,2.733333,
2.500000,0.004157,0.001928,-0.362800,-0.095542,0.629930,0.363571,-0.993382,-0.028383,-0.723596,1.341163,1.276449,5.059354,8.206352,4.863765,18.855818,3.555686,29.932226,2.846838,
2.600000,0.004446,0.002147,0.380742,-0.087846,0.021273,0.723137,-0.783605,-0.610499,-1.122036,1.028971,1.008283,5.120406,8.100670,5.038315,18.828565,3.696098,29.921079,2.960301,
2.700000,0.004737,0.002381,-0.274812,0.260497,-0.602732,0.388120,-0.271215,-0.957402,-1.396050,0.603384,0.737327,5.167220,7.991293,5.210571,18.800257,3.836304,29.909496,3.073721,
